,file,accuracy,balacc,f1score,cosine,jaccard,logloss,person
79,ILSVRC2012_val_00030540.JPEG,0.8125,0.4642857142857143,0.0,0.0,0.0,6.758185010459466,Nicki
80,ILSVRC2012_val_00030756.JPEG,0.9375,0.5,0.0,1.0,0.0,2.252728336819822,Nicki
81,ILSVRC2012_val_00036975.JPEG,0.6875,0.4230769230769231,0.0,0.0,0.0,11.26364168409911,Nicki
82,ILSVRC2012_val_00039246.JPEG,0.75,0.6545454545454545,0.5,0.5163977794943222,0.3333333333333333,9.010913347279288,Nicki
83,ILSVRC2012_val_00040002.JPEG,0.8125,0.4642857142857143,0.0,0.0,0.0,6.758185010459466,Nicki
84,ILSVRC2012_val_00040676.JPEG,0.8125,0.6282051282051282,0.4,0.40824829046386313,0.25,6.758185010459466,Nicki
85,ILSVRC2012_val_00040913.JPEG,0.8125,0.7083333333333333,0.5714285714285715,0.5773502691896258,0.4,6.758185010459466,Nicki
86,ILSVRC2012_val_00041922.JPEG,0.875,0.7948717948717949,0.6666666666666666,0.6666666666666666,0.5,4.505456673639644,Nicki
87,ILSVRC2012_val_00046002.JPEG,0.75,0.5897435897435898,0.3333333333333333,0.33333333333333326,0.2,9.010913347279288,Nicki
88,ILSVRC2012_val_00049179.JPEG,0.75,0.5897435897435898,0.3333333333333333,0.33333333333333326,0.2,9.010913347279288,Nicki
89,ILSVRC2012_val_00049472.JPEG,0.6875,0.39285714285714285,0.0,0.0,0.0,11.26364168409911,Nicki
90,ILSVRC2012_val_00001470.JPEG,0.6875,0.39285714285714285,0.0,0.0,0.0,11.26364168409911,Joachim
91,ILSVRC2012_val_00003768.JPEG,0.625,0.35714285714285715,0.0,0.0,0.0,13.516370020918933,Joachim
92,ILSVRC2012_val_00003808.JPEG,0.9375,0.9642857142857143,0.8,0.8164965809277261,0.6666666666666666,2.252728336819822,Joachim
93,ILSVRC2012_val_00007306.JPEG,0.8125,0.6282051282051282,0.4,0.40824829046386313,0.25,6.758185010459466,Joachim
94,ILSVRC2012_val_00009634.JPEG,0.875,0.7142857142857143,0.5,0.5,0.3333333333333333,4.505456673639644,Joachim
95,ILSVRC2012_val_00010411.JPEG,0.75,0.5897435897435898,0.3333333333333333,0.33333333333333326,0.2,9.010913347279288,Joachim
96,ILSVRC2012_val_00014415.JPEG,0.625,0.5833333333333333,0.4,0.40824829046386313,0.25,13.516370020918933,Joachim
97,ILSVRC2012_val_00015178.JPEG,0.75,0.6666666666666667,0.5,0.5,0.3333333333333333,9.010913347279288,Joachim
98,ILSVRC2012_val_00015410.JPEG,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,Joachim
99,ILSVRC2012_val_00017515.JPEG,0.8125,0.7564102564102564,0.5714285714285715,0.5773502691896258,0.4,6.758185010459466,Joachim
100,ILSVRC2012_val_00018867.JPEG,0.75,0.5,0.0,1.0,0.0,9.010913347279288,Joachim
101,ILSVRC2012_val_00021683.JPEG,0.8125,0.6785714285714286,0.4,0.40824829046386313,0.25,6.758185010459466,Joachim
102,ILSVRC2012_val_00021882.JPEG,0.625,0.4166666666666667,0.0,0.0,0.0,13.516370020918933,Joachim
103,ILSVRC2012_val_00023283.JPEG,0.875,0.5,0.0,1.0,0.0,4.505456673639644,Joachim
104,ILSVRC2012_val_00023750.JPEG,0.9375,0.9642857142857143,0.8,0.8164965809277261,0.6666666666666666,2.252728336819822,Joachim
105,ILSVRC2012_val_00025106.JPEG,0.75,0.46153846153846156,0.0,0.0,0.0,9.010913347279288,Joachim
106,ILSVRC2012_val_00026219.JPEG,0.875,0.7142857142857143,0.5,0.5,0.3333333333333333,4.505456673639644,Joachim
107,ILSVRC2012_val_00030117.JPEG,0.75,0.5897435897435898,0.3333333333333333,0.33333333333333326,0.2,9.010913347279288,Joachim
